#Frame         radius     distplot         rmsf  ligand_rmsd            C           CA            O            N         SASA
     108      21.5811       1.4428     169.2876       0.8605       1.6610       1.7034       1.8108       1.6221     155.7004
     109      21.5349       1.3810     130.8623       0.8155       1.5920       1.6333       1.7431       1.5543     150.7559
     110      21.5410       1.4445      78.6150       0.9429       1.5301       1.5698       1.6833       1.4983     163.1253
     111      21.5040       1.4306     119.1771       0.8527       1.5638       1.6039       1.7088       1.5246     152.3161
     112      21.5301       1.3841     176.5293       0.8755       1.4635       1.5161       1.5960       1.4434     151.2834
     113      21.5434       1.3777     116.1192       0.6907       1.4458       1.5052       1.5537       1.4381     141.4017
     114      21.4690       1.3767      98.1118       0.8336       1.4975       1.5580       1.6034       1.4936     134.0870
     115      21.5751       1.2938     201.2971       0.9198       1.5915       1.6316       1.7103       1.5689     138.4559
     116      21.4880       1.3340     189.7440       0.8528       1.6067       1.6495       1.7143       1.5909     143.4191
     117      21.5599       1.3332     209.9255       0.9367       1.7751       1.8223       1.8819       1.7607     147.1504
     118      21.6204       1.3379     166.0729       0.6965       1.5944       1.6378       1.7324       1.5644     144.3393
     119      21.4695       1.2942     119.7868       0.7931       1.7009       1.7438       1.8215       1.6760     155.9621
     120      21.5007       1.2764     198.3421       0.7960       1.5974       1.6406       1.7124       1.5746     155.5671
     121      21.4369       1.3008     218.9936       0.8719       1.6847       1.7324       1.8122       1.6645     141.9006
     122      21.5937       1.2910     147.9763       0.9323       1.6325       1.6896       1.7362       1.6219     151.0222
     123      21.4637       1.2963     163.2257       0.9028       1.5843       1.6285       1.7015       1.5655     148.1635
     124      21.4714       1.3083     147.3113       0.8434       1.5614       1.6023       1.6974       1.5309     153.6340
     125      21.4755       1.3376     236.1310       0.7323       1.5108       1.5547       1.6447       1.4802     160.5481
     126      21.4789       1.3010     374.5883       0.8775       1.4992       1.5401       1.6427       1.4666     144.5299
     127      21.4194       1.3513     408.8075       0.8019       1.5746       1.6077       1.7178       1.5391     126.5817
     128      21.4408       1.3283     212.2046       0.8899       1.5398       1.5791       1.6696       1.5089     132.2863
     129      21.4421       1.3002     249.0909       1.0837       1.4384       1.4785       1.5924       1.4024     149.4049
     130      21.4235       1.3039      90.1958       0.8414       1.3818       1.4304       1.5219       1.3617     146.5453
     131      21.3444       1.2407      65.0820       0.9211       1.4293       1.4733       1.5578       1.4098     143.9492
     132      21.4133       1.3028      90.1745       0.8803       1.5324       1.5684       1.6688       1.5002     143.8139
     133      21.4777       1.3245      72.4855       0.8540       1.5803       1.6222       1.7155       1.5525     148.0943
     134      21.4639       1.4389     126.0127       1.0125       1.6195       1.6716       1.7465       1.6084     156.0032
     135      21.5716       1.4313      74.2997       0.8827       1.5990       1.6404       1.7109       1.5810     159.7121
     136      21.4568       1.4271     113.0990       0.9035       1.6117       1.6532       1.7069       1.6029     150.0085
     137      21.4706       1.3958      87.3780       0.8947       1.5928       1.6376       1.7070       1.5765     158.4436
     138      21.3976       1.3765     130.0100       0.7910       1.5590       1.5974       1.6850       1.5270     150.1412
     139      21.4138       1.3764     162.5293       0.8904       1.5725       1.6167       1.7028       1.5521     150.5314
     140      21.4317       1.4864      70.3362       0.8537       1.7441       1.7941       1.8486       1.7334     161.3261
     141      21.3890       1.4987     139.7151       0.8097       1.6729       1.7218       1.7832       1.6651     165.9096
     142      21.4389       1.4185      60.6413       0.7913       1.6553       1.6981       1.7606       1.6470     166.0282
     143      21.4261       1.3290      62.6691       0.8025       1.5725       1.6187       1.7015       1.5503     149.0798
     144      21.4417       1.3536      40.4376       0.8193       1.5837       1.6232       1.7071       1.5603     134.7747
     145      21.4188       1.3054      66.5754       0.8655       1.4535       1.4956       1.5896       1.4319     143.5698
     146      21.4675       1.3051      44.9986       0.7456       1.4787       1.5283       1.5830       1.4634     147.2973
     147      21.4037       1.2985      54.0914       0.7415       1.4969       1.5400       1.6429       1.4664     138.4817
     148      21.3574       1.3708      34.3824       0.7562       1.5145       1.5630       1.6389       1.4982     149.2546
     149      21.3922       1.3484      48.3778       0.8205       1.5885       1.6268       1.7211       1.5549     154.2575
     150      21.4330       1.3062      66.5090       0.8960       1.6079       1.6497       1.7248       1.5872     157.6508
     151      21.3792       1.3034      67.2724       0.7874       1.6168       1.6380       1.7550       1.5737     146.4944
     152      21.5052       1.2734      78.3615       0.7113       1.5475       1.5809       1.6815       1.5138     162.0477
     153      21.6084       1.3304      54.8205       0.8026       1.6999       1.7369       1.8113       1.6685     148.5356
     154      21.4992       1.3323      55.2912       0.7668       1.4671       1.5133       1.5874       1.4494     143.1119
     155      21.4607       1.3062      46.4181       0.8544       1.5630       1.5983       1.6811       1.5408     159.7230
     156      21.4281       1.3100      51.1013       0.8674       1.5678       1.6118       1.6978       1.5467     153.2576
     157      21.4769       1.2776      34.7761       0.8246       1.4941       1.5356       1.6126       1.4727     144.3192
     158      21.4651       1.3067      35.5182       0.7805       1.4969       1.5430       1.5944       1.4809     154.4976
     159      21.4516       1.3201      22.0833       0.8559       1.5002       1.5414       1.6084       1.4769     142.0930
     160      21.4469       1.3188      17.8764       0.8969       1.4370       1.4778       1.5487       1.4275     131.6242
     161      21.4371       1.3707      74.5314       0.8027       1.3710       1.4145       1.4888       1.3491     151.0305
     162      21.4053       1.3071      20.0218       0.7683       1.2900       1.3302       1.4153       1.2757     158.8976
     163      21.3011       1.3582      13.6511       0.7698       1.2591       1.3087       1.3698       1.2482     138.4983
     164      21.2420       1.3570      19.9510       0.7133       1.2148       1.2590       1.3386       1.1996     148.6675
     165      21.4010       1.3174      27.8020       0.8034       1.1931       1.2373       1.3034       1.1803     136.7169
     166      21.3356       1.2807      19.4266       0.8383       1.1556       1.2045       1.2740       1.1469     137.4372
     167      21.3585       1.3071      25.1561       0.8069       1.2829       1.3256       1.4075       1.2708     146.2992
     168      21.3629       1.3654      39.1234       0.8580       1.4375       1.4789       1.5395       1.4299     130.2333
     169      21.3689       1.3295      14.7303       0.8119       1.4396       1.4783       1.5589       1.4222     141.9063
     170      21.3731       1.3069      12.4651       0.8585       1.3849       1.4307       1.4863       1.3792     151.4400
     171      21.3645       1.4806      20.9286       0.8734       1.3911       1.4263       1.5323       1.3591     146.5679
     172      21.4481       1.3309      14.4223       0.9239       1.4819       1.5199       1.6088       1.4607     140.8295
     173      21.4637       1.4128      10.8347       0.8613       1.5599       1.6089       1.6495       1.5607     148.3719
     174      21.4277       1.3626      10.8266       0.8307       1.5176       1.5638       1.6297       1.5145     145.5162
     175      21.5229       1.4422      31.9811       0.8714       1.7569       1.7969       1.8655       1.7356     154.4246
     176      21.4116       1.4440      13.2336       0.8951       1.5337       1.5725       1.6640       1.5104     132.8805
     177      21.4975       1.4357      11.4351       0.9045       1.5044       1.5471       1.6194       1.4904     135.3120
     178      21.4307       1.4508      38.1472       0.9531       1.4521       1.4946       1.5904       1.4363     136.4242
     179      21.4035       1.4327      22.7548       0.7996       1.3963       1.4457       1.5278       1.3861     132.0148
     180      21.3772       1.4517      14.7099       0.7562       1.3478       1.3966       1.4818       1.3270     148.7245
     181      21.4302       1.4877      16.8100       0.7494       1.4693       1.5112       1.6033       1.4519     145.0124
     182      21.3270       1.4512      99.6850       0.7777       1.5013       1.5402       1.6378       1.4771     145.7072
     183      21.3307       1.4173      35.9236       0.8448       1.4364       1.4823       1.5675       1.4219     143.6775
     184      21.3527       1.4268      24.5186       0.8607       1.5539       1.5895       1.6858       1.5215     156.1741
     185      21.3633       1.3869      31.8182       0.8406       1.5629       1.6152       1.6813       1.5509     159.5826
     186      21.3442       1.3978      23.4575       0.7708       1.5732       1.6179       1.6836       1.5665     143.3744
     187      21.3526       1.3406      39.5507       0.9376       1.5268       1.5734       1.6492       1.5152     148.1662
     188      21.2745       1.5084      71.7074       0.8732       1.6498       1.6889       1.7645       1.6341     157.4953
     189      21.4206       1.4842      51.6070       0.8348       1.4673       1.5210       1.5729       1.4641     141.8086
     190      21.3892       1.4269     105.3116       0.7225       1.3508       1.3997       1.4675       1.3415     145.0242
     191      21.3857       1.4263     287.2095       0.8290       1.3395       1.4031       1.4500       1.3425     146.2494
     192      21.3202       1.3683      82.2609       0.8054       1.4154       1.4679       1.5242       1.4068     154.4494
     193      21.3283       1.4231      48.3890       0.8563       1.2925       1.3434       1.4194       1.2718     148.4717
     194      21.3347       1.5067      37.1519       0.8931       1.3499       1.3933       1.4860       1.3259     142.2790
     195      21.3194       1.5509      24.9393       0.7508       1.4432       1.4902       1.5827       1.4221     147.7278
     196      21.3586       1.4605      27.0344       0.9409       1.4202       1.4661       1.5435       1.4082     147.5802
     197      21.3908       1.5851      31.8980       0.7651       1.5823       1.6157       1.7236       1.5520     154.1066
     198      21.4313       1.4612      23.5913       0.9072       1.5203       1.5585       1.6536       1.4877     155.5546
     199      21.3943       1.4512      14.2652       0.8670       1.5761       1.6232       1.7034       1.5591     145.5893
     200      21.3712       1.4524      13.5692       0.7207       1.6094       1.6599       1.7230       1.5986     148.2609
     201      21.3307       1.4424      21.3678       0.8706       1.4415       1.4878       1.5618       1.4402     145.5482
     202      21.3328       1.4819      11.0905       0.8372       1.5027       1.5473       1.6113       1.4891     138.7374
     203      21.2589       1.5109      11.5390       0.8785       1.5077       1.5492       1.6067       1.5018     141.4151
     204      21.3026       1.5411       8.7697       0.8560       1.5579       1.6023       1.6839       1.5487     148.8598
     205      21.3885       1.4508       7.6731       0.8956       1.5907       1.6313       1.7023       1.5780     157.3448
     206      21.3239       1.4799       5.5035       0.7806       1.5381       1.5907       1.6514       1.5284     151.2381
     207      21.3429       1.5816       6.8910       0.8630       1.5099       1.5475       1.6430       1.4820     153.6838
     208      21.3393       1.5387       6.9393       0.9919       1.5369       1.5689       1.6519       1.5185     142.9196
     209      21.3835       1.4967       7.5127       0.9011       1.4275       1.4614       1.5429       1.4147     145.7065
     210      21.3160       1.5048      11.8457       0.7662       1.3125       1.3363       1.4605       1.2866     140.2294
     211      21.2438       1.6132      28.5052       0.7831       1.3115       1.3384       1.4812       1.2812     134.5610
     212      21.3314       1.4750      44.5173       0.8330       1.2031       1.2433       1.3443       1.1932     130.3815
     213      21.3238       1.6004      21.7636       0.7365       1.2296       1.2653       1.3728       1.2091     139.9324
     214      21.3801       1.5426      15.9962       0.7729       1.3225       1.3590       1.4633       1.3100     131.7282
     215      21.3112       1.5517      11.5446       0.7417       1.4199       1.4532       1.5573       1.4022     135.5502
     216      21.3563       1.6472       9.8846       0.7090       1.5400       1.5668       1.6918       1.5175     137.8095
     217      21.3753       1.5432      13.4050       0.7419       1.5016       1.5256       1.6383       1.4733     134.5796
     218      21.4611       1.5698      13.0499       0.8681       1.5186       1.5580       1.6479       1.5056     140.1825
     219      21.4088       1.5193      16.1732       0.8919       1.2583       1.3107       1.3740       1.2549     128.6310
     220      21.4233       1.5196      18.6320       0.8130       1.3532       1.4030       1.4775       1.3431     149.9282
     221      21.3657       1.5179      38.8472       0.9231       1.3787       1.4195       1.5230       1.3664     138.9177
     222      21.3521       1.5330      48.8223       0.8517       1.3615       1.4124       1.4923       1.3553     156.0600
     223      21.3690       1.5028     109.4888       0.7729       1.3476       1.3876       1.4709       1.3337     145.3596
     224      21.3900       1.4424      81.3871       0.7442       1.4186       1.4587       1.5286       1.4091     145.1466
     225      21.4459       1.4740      45.9180       0.8134       1.3803       1.4202       1.5040       1.3666     145.5467
     226      21.4239       1.4451      54.0970       0.8538       1.4655       1.4911       1.5898       1.4379     163.9108
     227      21.4904       1.4953     114.5864       0.8301       1.5596       1.5904       1.6605       1.5308     153.2023
     228      21.4922       1.4486     195.2538       0.7869       1.4411       1.4711       1.5651       1.4115     149.8046
     229      21.4441       1.4660     254.0569       0.8181       1.4293       1.4656       1.5579       1.4063     172.8464
     230      21.3258       1.5090     573.3125       0.8083       1.3174       1.3438       1.4486       1.2877     136.0149
     231      21.3765       1.4238     586.6056       0.8916       1.2988       1.3357       1.4386       1.2809     138.1509
     232      21.4252       1.5085     329.5495       0.9734       1.5304       1.5723       1.6475       1.5228     147.9268
     233      21.5623       1.5231     200.9752       0.7410       1.4832       1.5217       1.6063       1.4660     152.8101
     234      21.5006       1.5443     120.1260       0.8404       1.4440       1.4877       1.5745       1.4223     145.9115
     235      21.4146       1.5272      64.4321       0.8344       1.4903       1.5277       1.6332       1.4645     153.6951
     236      21.4293       1.4894      55.3432       0.8924       1.4419       1.4765       1.5819       1.4220     146.8154
     237      21.4222       1.4812      26.0947       1.0026       1.4775       1.5240       1.6312       1.4566     153.7208
     238      21.3450       1.4168      21.6075       0.8308       1.4635       1.5044       1.5951       1.4458     142.0263
     239      21.4189       1.4778      41.2496       0.8416       1.5701       1.6106       1.6888       1.5661     129.1703
     240      21.4194       1.5362      44.9182       0.9283       1.6874       1.7207       1.8070       1.6515     155.8048
     241      21.4666       1.5157      40.3317       0.8665       1.6535       1.6852       1.7926       1.6191     143.9379
     242      21.4150       1.4682      46.4865       0.8294       1.3986       1.4439       1.5315       1.3790     143.0588
     243      21.3468       1.4169      61.9957       0.7973       1.3842       1.4277       1.5229       1.3684     144.8014
     244      21.4290       1.5028      25.7817       0.7657       1.4985       1.5377       1.6303       1.4686     146.4679
     245      21.3795       1.3913      54.2539       0.7784       1.3113       1.3557       1.4698       1.2931     134.0228
     246      21.4053       1.3888      29.3526       0.8793       1.5027       1.5428       1.6427       1.4805     139.7694
     247      21.4415       1.3640      26.4524       0.8725       1.5137       1.5496       1.6360       1.4968     133.5113
     248      21.5283       1.3834      20.1768       0.9318       1.5145       1.5528       1.6431       1.4894     157.3026
     249      21.4271       1.4086      28.6527       0.8904       1.5049       1.5364       1.6356       1.4744     154.9461
     250      21.3642       1.4694      88.3966       0.7260       1.5205       1.5594       1.6359       1.4990     148.8824
     251      21.4044       1.4995      17.8463       0.9548       1.5507       1.5907       1.6761       1.5286     149.1490
     252      21.3725       1.5769      68.9456       0.8874       1.5061       1.5531       1.6281       1.4871     137.9450
     253      21.3252       1.5837      29.6644       0.8389       1.5073       1.5555       1.6157       1.4867     143.4589
     254      21.3637       1.5698      16.7590       0.9043       1.5311       1.5881       1.6174       1.5258     156.3896
     255      21.3527       1.5426      24.7436       0.7901       1.3820       1.4345       1.4875       1.3715     143.2097
     256      21.4186       1.5970      10.4281       0.8994       1.5570       1.5995       1.6708       1.5389     162.3101
     257      21.3852       1.5508      10.5373       0.8066       1.5348       1.5712       1.6561       1.5101     142.4395
     258      21.4158       1.6204       8.4321       0.8374       1.4755       1.5184       1.6064       1.4475     146.0810
     259      21.4102       1.5664       8.1904       0.7820       1.5937       1.6215       1.7441       1.5588     140.0696
     260      21.4022       1.6213      10.6443       0.8237       1.5835       1.6156       1.7217       1.5615     148.8105
     261      21.4513       1.5276      30.7735       0.8633       1.5937       1.6188       1.7333       1.5599     139.4638
     262      21.3868       1.6732       6.7096       0.7661       1.6172       1.6473       1.7449       1.5839     142.6104
     263      21.3661       1.7511       9.2621       0.7707       1.7577       1.8044       1.8764       1.7430     154.9728
     264      21.3928       1.7505      23.6724       0.8410       1.6519       1.6957       1.7675       1.6303     161.2766
     265      21.3872       1.6888      10.6552       0.9149       1.6106       1.6531       1.7379       1.5915     149.6955
     266      21.4402       1.6212       9.2597       0.7888       1.5635       1.5993       1.6856       1.5441     161.3263
     267      21.4365       1.7661      13.4515       0.8741       1.5885       1.6215       1.7096       1.5669     152.6324
     268      21.5229       1.7354      21.6387       0.9753       1.6423       1.6744       1.7624       1.6232     158.9668
     269      21.4998       1.6543      61.5219       0.8668       1.4183       1.4660       1.5492       1.4042     145.2963
     270      21.4987       1.6894      27.8307       0.8575       1.4320       1.4778       1.5441       1.4322     153.2066
     271      21.4624       1.6674      50.8371       0.8669       1.4437       1.4897       1.5709       1.4385     151.0595
     272      21.3660       1.5882      25.7173       0.8001       1.4616       1.4982       1.5811       1.4418     158.5138
     273      21.4807       1.6001      56.7228       0.8545       1.4591       1.5069       1.5730       1.4429     140.0628
     274      21.4472       1.5587      72.0498       0.9276       1.4743       1.5159       1.6165       1.4510     150.1837
     275      21.4816       1.5707      46.1643       0.8999       1.4987       1.5371       1.6314       1.4763     146.2782
     276      21.4833       1.6435      16.1437       0.8320       1.5079       1.5418       1.6516       1.4797     143.8830
     277      21.4547       1.6591      17.4169       0.8545       1.4826       1.5234       1.6122       1.4595     154.8295
     278      21.4917       1.5901      10.7311       0.8282       1.5356       1.5705       1.6662       1.5127     148.1909
     279      21.4083       1.6643      13.3428       0.8837       1.3804       1.4072       1.5214       1.3345     142.6248
     280      21.4568       1.5879      16.2147       0.8740       1.3957       1.4358       1.5321       1.3683     162.4033
     281      21.5089       1.5842      29.4766       0.8831       1.5071       1.5547       1.6308       1.4953     152.9748
     282      21.4618       1.5594      12.2181       0.8371       1.5311       1.5716       1.6587       1.5015     152.2220
     283      21.4173       1.5512      17.9594       0.8019       1.5785       1.6030       1.7247       1.5297     141.5633
     284      21.3982       1.5883      22.6728       0.8249       1.5016       1.5285       1.6509       1.4639     156.5057
     285      21.3771       1.5227      22.0609       0.9141       1.4907       1.5191       1.6371       1.4612     146.0338
     286      21.3627       1.5415      35.3789       0.8377       1.5655       1.6081       1.6957       1.5534     151.8395
     287      21.3475       1.5373      28.6476       0.8445       1.5467       1.5764       1.6818       1.5194     136.1310
     288      21.4508       1.4940      42.1745       0.8922       1.4711       1.4970       1.6328       1.4248     151.2287
     289      21.4031       1.5573      89.4413       0.8235       1.5416       1.5869       1.6775       1.5131     162.3573
     290      21.3819       1.4939      38.1524       0.8347       1.5822       1.6173       1.7213       1.5526     137.6823
